"","studyName","locationName","studyYear","studyDesign","selStage","ngenos_TC","ngenos_DM"
"1","13geneticgainIB","Ibadan","2013","Augmented","GG",11,39
"2","13geneticgainUB","Ubiaja","2013","Augmented","GG",8,41
"3","13pytdiallelIB","Ibadan","2013","RCBD","PYT",6,6
"4","13uyt30yrtUB","Ubiaja","2013","RCBD","UYT",5,5
"5","14clonalevaIB_Diallel","Ibadan","2014","Augmented","CET",6,6
"6","14geneticgainIB","Ibadan","2014","Augmented","GG",20,30
"7","14geneticgainUB","Ubiaja","2014","Augmented","GG",29,46
"8","14NCRPYRTIK","Ikenne","2014","RCBD","UYT",5,5
"9","14NCRPYRTMK","Mokwa","2014","RCBD","UYT",5,5
"10","14NCRPYRTUB","Ubiaja","2014","RCBD","UYT",5,5
"11","15NCRPYRTMK","Mokwa","2015","RCBD","UYT",5,5
"12","15NCRPYRTUB","Ubiaja","2015","RCBD","UYT",5,5
"13","17ayt25HTC1IB","Ibadan","2017","RCBD","AYT",5,5
"14","17pyt25expHTCIB","Ibadan","2017","RCBD","PYT",5,5
"15","18ayt18HighTCIK","Ikenne","2018","RCBD","AYT",5,5
"16","18ayt18highTCUB","Ubiaja","2018","Alpha","AYT",5,5
"17","18cet676highTCIB","Ibadan","2018","Augmented","CET",10,10
"18","18pyt115highTCIB","Ibadan","2018","Alpha","PYT",4,4
"19","18pyt28highTCIB","Ibadan","2018","RCBD","PYT",7,7
"20","18pyt36highTCIB","Ibadan","2018","RCBD","PYT",5,5
"21","18pyt60highTCIB","Ibadan","2018","Alpha","PYT",5,5
"22","19ayt30highTCIB","Ibadan","2019","Alpha","AYT",8,8
"23","19.CASS.PYT.52.IK","Ikenne","2019","Alpha","PYT",51,50
"24","19cet586highTCIB","Ibadan","2019","Augmented","CET",15,31
"25","19NCRP12yrtIK","Ikenne","2019","RCBD","UYT",7,7
"26","19NCRP12yrtMK","Mokwa","2019","RCBD","UYT",7,7
"27","19NCRP12yrtUB","Ubiaja","2019","RCBD","UYT",7,7
"28","19pyt36highTCIB","Ibadan","2019","Alpha","PYT",7,7
"29","19pyt40highTC2IB","Ibadan","2019","Alpha","PYT",7,7
"30","19pyt42HTCbulkIB","Ibadan","2019","RCBD","PYT",8,8
"31","19pyt57highTCIB","Ibadan","2019","RCBD","PYT",9,9
"32","19pyt64highTCIB","Ibadan","2019","RCBD","PYT",11,11
"33","20AYT25HighTCIB","Ibadan","2020","RCBD","AYT",9,9
"34","20AYT28HighTCMK","Mokwa","2020","CRD","AYT",14,14
"35","20AYT30HighTCIB","Ibadan","2020","RCBD","AYT",13,13
"36","20AYT35HighTCIB","Ibadan","2020","RCBD","AYT",16,16
"37","20NCRP12yrtIK","Ikenne","2020","RCBD","UYT",7,7
"38","20NCRP12yrtMK","Mokwa","2020","CRD","UYT",7,7
"39","20NCRP12yrtUB","Ubiaja","2020","CRD","UYT",7,7
"40","20PYT24HighTCIB","Ibadan","2020","RCBD","PYT",6,6
"41","20PYT34HighTCIB","Ibadan","2020","RCBD","PYT",5,7
"42","21AYT20HTCIB","Ibadan","2021","CRD","AYT",19,19
"43","21ayt24highTCIB","Ibadan","2021","RCBD","AYT",7,7
"44","21.CET.171.CIAT.IB","Ibadan","2021","Augmented","CET",28,28
"45","21cet284highTCIB","Ibadan","2021","Augmented","CET",147,145
"46","21.CET.96.YRT.HAWAII.IB","Ibadan","2021","Augmented","CET",27,27
"47","21pyt22highTCIB","Ibadan","2021","RCBD","PYT",9,9
"48","21pyt48highTCIB","Ibadan","2021","RCBD","PYT",22,22
"49","21pyt50highTCIB","Ibadan","2021","RCBD","PYT",27,27
"50","22ayt12highTCIB","Ibadan","2022","Alpha","AYT",10,10
"51","22AYT25HighTCIB","Ibadan","2022","Alpha","AYT",18,18
