"","SNP","gene_ID","functional_annotation","arabidopsis_annot","GOterm","chrom","startpos","endpos","mid_distance"
"1","S10_2963170","Manes.10G034900","(1 of 1) PTHR24222:SF21 - ABC TRANSPORTER B FAMILY MEMBER 20-RELATED","P-glycoprotein  20","GO:0016887,GO:0005524,GO:0055085,GO:0042626,GO:0016021,GO:0006810","10","2955676","2970607","28.5"
"2","S10_2963170","Manes.10G034800","(1 of 1) PTHR31407:SF10 - PSBP-LIKE PROTEIN 2, CHLOROPLASTIC","PsbP-like protein 2","GO:0019898,GO:0015979,GO:0009654,GO:0009523,GO:0005509","10","2952088","2954735","9758.5"
"3","S10_2963170","Manes.10G035000","(1 of 4) PTHR19139//PTHR19139:SF55 - AQUAPORIN TRANSPORTER","tonoplast intrinsic protein 1;3","GO:0016020,GO:0006810,GO:0005215","10","2983924","2985053","21318.5"
"4","S10_2963170","Manes.10G035100","(1 of 152) PF00646 - F-box domain (F-box)","F-box family protein","GO:0005515","10","2988373","2997004","29518.5"
"5","S10_2963170","Manes.10G034700","(1 of 25) PF16135 - TPL-binding domain in jasmonate signalling (Jas)",NA,NA,"10","2929102","2938060","29589"
"6","S10_2963170","Manes.10G035200","(1 of 125) 3.1.1.11 - Pectinesterase / Pectin methylesterase","cell wall / vacuolar inhibitor of fructosidase 2","GO:0004857","10","3001797","3002318","38887.5"
"7","S10_2963170","Manes.10G034600","(1 of 63) PF00892 - EamA-like transporter family (EamA)","nodulin MtN21 /EamA-like transporter family protein","GO:0016021,GO:0016020,GO:0022857","10","2921808","2924755","39888.5"
"8","S10_2963170","Manes.10G035300","(1 of 125) 3.1.1.11 - Pectinesterase / Pectin methylesterase","Plant invertase/pectin methylesterase inhibitor superfamily","GO:0042545,GO:0030599,GO:0005618","10","3002486","3003642","39894"
"9","S10_2963170","Manes.10G035400","(1 of 125) 3.1.1.11 - Pectinesterase / Pectin methylesterase","cell wall / vacuolar inhibitor of fructosidase 2","GO:0004857","10","3010052","3010573","47142.5"
"10","S10_2963170","Manes.10G035500","(1 of 125) 3.1.1.11 - Pectinesterase / Pectin methylesterase","Plant invertase/pectin methylesterase inhibitor superfamily","GO:0042545,GO:0030599,GO:0005618","10","3010741","3011888","48144.5"
"11","S10_2963170","Manes.10G034500","(1 of 3) 1.2.4.2 - Oxoglutarate dehydrogenase (succinyl-transferring) / Oxoglutarate dehydrogenase (lipoamide)","2-oxoglutarate dehydrogenase, E1 component","GO:0016624,GO:0008152,GO:0055114,GO:0030976,GO:0006099,GO:0004591","10","2910073","2915589","50339"
"12","S10_2963170","Manes.10G035600","(1 of 125) 3.1.1.11 - Pectinesterase / Pectin methylesterase","Plant invertase/pectin methylesterase inhibitor superfamily","GO:0042545,GO:0030599,GO:0005618","10","3013253","3014391","50652"
"13","S10_2963170","Manes.10G035700","(1 of 125) 3.1.1.11 - Pectinesterase / Pectin methylesterase","cell wall / vacuolar inhibitor of fructosidase 2","GO:0004857","10","3014559","3015080","51649.5"
"14","S10_2963170","Manes.10G035800","(1 of 2) PTHR33219:SF1 - COFACTOR ASSEMBLY, COMPLEX C (B6F)","cofactor assembly, complex C (B6F)","GO:0016020","10","3016664","3019384","54854"
"15","S10_2963170","Manes.10G034400","(1 of 3) 1.2.4.2 - Oxoglutarate dehydrogenase (succinyl-transferring) / Oxoglutarate dehydrogenase (lipoamide)","2-oxoglutarate dehydrogenase, E1 component","GO:0016624,GO:0008152,GO:0055114,GO:0030976,GO:0006099,GO:0004591","10","2900748","2906565","59513.5"
