"","PeakSNP","BivariateAIC","TC_AIC","DM_AIC","BivariateP","TC_P","DM_P"
"1","1_23484417",-47.28,3.07,0.56,"3.54e-11 **","3.85e-09 **","6.25e-03"
"2","10_2963170",-46.83,4.37,2.79,"5.61e-06 **","3.86e-05 *","2.36e-01"
"3","6_3256937",-45.12,2.62,3.47,"2.23e-05 *","2.12e-06 **","9.44e-01"
"4","13_25853831",-42.37,-0.53,3.48,"3.09e-05 *","1.24e-06 **","7.54e-01"
"5","13_23763339",-41.57,10.15,6.37,"6.22e-05 *","1.01e-04 *","1.56e-01"
"6","17_17210448",-42.49,1.55,4.88,"1.19e-04 *","3.13e-05 *","9.20e-01"
"7","18_6776129",-41.06,18.37,-4,"1.38e-04 *","4.75e-02","9.09e-05 *"
"8","3_3292443",-44.93,22.62,-12.52,"1.40e-04 *","7.81e-02","8.81e-06 **"
"9","12_5428221",-39.56,23.14,-11.18,"1.54e-04 *","6.57e-01","5.23e-05 *"
"10","3_294409",-42.28,13.24,-4.89,"1.58e-04 *","2.69e-03","1.66e-02"
"11","5_1950967",-39.5,13.1,-1.26,"2.90e-04 *","5.27e-06 **","1.24e-01"
"12","17_20165942",-42.81,5.79,-0.05,"4.08e-04 *","1.19e-03","3.76e-03"
"13","5_22756786",-39.4,12.37,-0.16,"5.65e-04 *","6.98e-02","3.25e-03"
"14","2_2073445",-41.11,2,6.21,"5.90e-04 *","1.11e-04 *","2.80e-01"
"15","2_8411339",-41.16,21.43,-6.49,"1.54e-03","1.90e-02","7.69e-04 *"
"16","6_23101017",-42.63,5.03,5.28,"1.55e-03","3.13e-04 *","3.41e-01"
"17","10_20300591",-38.65,12.62,4.68,"4.25e-03","4.35e-03","1.46e-01"
